'dr_no'	'date_reported'	'date_occ'	'time_occ'	'area'	'area_name'	'rd'	'crime_no'	'crime_desc'	'status'	'status_desc'	'image_no'
132007717	'20th March, 2013'	'20th March, 2013'	2015	20	'Olympic'	2004	997	'TRAFFIC DR #'	'unk'	'Unknown'	-1
130608787	'10th March, 2013'	'10th March, 2013'	445	6	'Hollywood'	635	997	'TRAFFIC DR #'	'unk'	'Unknown'	110
131820260	'18th December, 2013'	'18th December, 2013'	745	18	'Southeast'	1839	997	'TRAFFIC DR #'	'unk'	'Unknown'	373
131817514	'18th October, 2013'	'18th October, 2013'	1730	18	'Southeast'	1827	997	'TRAFFIC DR #'	'unk'	'Unknown'	513
130510483	'26th May, 2013'	'25th May, 2013'	2000	5	'Harbor'	507	440	'THEFT PLAIN - PETTY (UNDER $400)'	'unk'	'Unknown'	-1
131213618	'24th May, 2013'	'22nd May, 2013'	1145	12	'77th Street'	1211	997	'TRAFFIC DR #'	'unk'	'Unknown'	212
120101610	'2nd January, 2013'	'31st December, 2012'	240	1	'Central'	158	761	'BRANDISH WEAPON'	'ic'	'Invest Cont'	321
120101614	'3rd January, 2013'	'31st December, 2012'	1830	1	'Central'	191	930	'CRIMINAL THREATS - NO WEAPON DISPLAYED'	'ic'	'Invest Cont'	121
121801607	'2nd January, 2013'	'31st December, 2012'	1725	18	'Southeast'	1832	626	'SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT'	'ic'	'Invest Cont'	-1
121901758	'1st January, 2013'	'31st December, 2012'	1900	19	'Mission'	1975	210	'ROBBERY'	'ic'	'Invest Cont'	109
121901759	'1st January, 2013'	'31st December, 2012'	900	19	'Mission'	1983	888	'TRESPASSING'	'ic'	'Invest Cont'	-1
130104038	'1st January, 2013'	'31st December, 2012'	2130	1	'Central'	182	440	'THEFT PLAIN - PETTY ($950 & UNDER)'	'ic'	'Invest Cont'	-1
130104044	'1st January, 2013'	'31st December, 2012'	230	1	'Central'	119	810	'SEX, UNLAWFUL'	'ic'	'Invest Cont'	982
130104250	'5th January, 2013'	'31st December, 2012'	1710	1	'Central'	148	624	'BATTERY - SIMPLE ASSAULT'	'ao'	'Adult Other'	156
130104430	'8th January, 2013'	'31st December, 2012'	2000	1	'Central'	105	740	'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)'	'ic'	'Invest Cont'	-1
130104432	'8th January, 2013'	'31st December, 2012'	1530	1	'Central'	119	330	'BURGLARY FROM VEHICLE'	'ic'	'Invest Cont'	492
130105010	'18th January, 2013'	'31st December, 2012'	1630	1	'Central'	155	946	'OTHER MISCELLANEOUS CRIME'	'ic'	'Invest Cont'	959
130106076	'4th February, 2013'	'31st December, 2012'	900	1	'Central'	182	668	'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)'	'ic'	'Invest Cont'	915
130110099	'8th April, 2013'	'31st December, 2012'	1200	1	'Central'	101	354	'THEFT OF IDENTITY'	'ic'	'Invest Cont'	94
130110216	'10th April, 2013'	'31st December, 2012'	1200	1	'Central'	164	354	'THEFT OF IDENTITY'	'ic'	'Invest Cont'	737
130112321	'13th May, 2013'	'31st December, 2012'	1200	1	'Central'	111	649	'DOCUMENT FORGERY / STOLEN FELONY'	'ic'	'Invest Cont'	666
130204018	'1st January, 2013'	'31st December, 2012'	2300	2	'Rampart'	261	230	'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT'	'aa'	'Adult Arrest'	879
130204023	'1st January, 2013'	'31st December, 2012'	2245	2	'Rampart'	237	624	'BATTERY - SIMPLE ASSAULT'	'ao'	'Adult Other'	34
130204024	'1st January, 2013'	'31st December, 2012'	2000	2	'Rampart'	204	341	'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD'	'ic'	'Invest Cont'	979
130204038	'1st January, 2013'	'31st December, 2012'	2000	2	'Rampart'	238	310	'BURGLARY'	'ic'	'Invest Cont'	795
130204053	'1st January, 2013'	'31st December, 2012'	1200	2	'Rampart'	266	900	'VIOLATION OF COURT ORDER'	'aa'	'Adult Arrest'	971
130204062	'1st January, 2013'	'31st December, 2012'	1900	2	'Rampart'	269	330	'BURGLARY FROM VEHICLE'	'ao'	'Adult Other'	932
