'date_reported';'dr_no';'date_occ';'time_occ';'area';'area_name';'rd';'crime_no';'crime_desc';'status';'status_desc';'image_no'
'2014-August-20';141115368;'2014-August-21';2000;11;'Northeast';1171;331;'THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)';'IC';'Invest Cont';282
'2014-August-03';140215362;'2014-August-04';2300;2;'Rampart';235;740;'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)';'IC';'Invest Cont';291
'2014-August-01';140117978;'2014-August-01';1300;1;'Central';176;624;'BATTERY - SIMPLE ASSAULT';'IC';'Invest Cont';245
'2014-July-25';141114018;'2014-July-26';2300;11;'Northeast';1142;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';896
'2014-July-08';141113525;'2014-July-16';1900;11;'Northeast';1138;813;'CHILD ENDANGERMENT/NEG.';'IC';'Invest Cont';405
'2014-June-20';140212831;'2014-June-20';2145;2;'Rampart';246;624;'BATTERY - SIMPLE ASSAULT';'IC';'Invest Cont';95
'2014-April-30';140508927;'2014-April-30';600;5;'Harbor';557;230;'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT';'IC';'Invest Cont';141
'2014-April-28';141412668;'2014-April-29';2300;14;'Pacific';1489;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';538
'2014-April-20';141411992;'2014-April-20';1920;14;'Pacific';1489;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';843
'2014-March-13';141315628;'2014-July-31';1;13;'Newton';1321;946;'OTHER MISCELLANEOUS CRIME';'IC';'Invest Cont';493
'2014-September-05';140319128;'2014-September-06';115;3;'Southwest';373;624;'BATTERY - SIMPLE ASSAULT';'IC';'Invest Cont';73
'2014-August-25';140413827;'2014-September-06';2330;4;'Hollenbeck';407;510;'VEHICLE - STOLEN';'IC';'Invest Cont';497
'2014-August-25';141014194;'2014-August-28';800;10;'West Valley';1008;510;'VEHICLE - STOLEN';'IC';'Invest Cont';0
'2014-August-22';142114677;'2014-August-26';900;21;'Topanga';2144;740;'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)';'IC';'Invest Cont';834
'2014-August-02';140813088;'2014-August-03';1800;8;'West LA';813;331;'THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)';'IC';'Invest Cont';592
'2014-June-01';141219432;'2014-August-30';600;12;'77th Street';1258;928;'THREATENING PHONE CALLS/LETTERS';'IC';'Invest Cont';156
'2014-March-11';141208252;'2012-December-31';1;12;'77th Street';1211;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';253
'2014-September-24';140515175;'2012-December-24';1400;5;'Harbor';564;354;'THEFT OF IDENTITY';'IC';'Invest Cont';952
'2014-May-22';141212798;'2012-December-07';1200;12;'77th Street';1251;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';0
'2014-August-27';142015459;'2012-December-01';900;20;'Olympic';2027;668;'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)';'IC';'Invest Cont';526
'2014-March-25';141410082;'2012-November-26';1200;14;'Pacific';1487;668;'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)';'AA';'Adult Arrest';588
'2014-January-24';141004948;'2012-November-15';1235;10;'West Valley';1097;354;'THEFT OF IDENTITY';'IC';'Invest Cont';354
'2014-October-15';141518860;'2012-November-01';1000;15;'N Hollywood';1531;627;'CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT';'AO';'Adult Other';0
'2014-June-07';141710876;'2012-November-01';1200;17;'Devonshire';1708;354;'THEFT OF IDENTITY';'IC';'Invest Cont';63
'2014-October-11';140415388;'2012-October-11';1400;4;'Hollenbeck';421;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';503
'2014-September-14';140916140;'2012-September-01';1200;9;'Van Nuys';989;354;'THEFT OF IDENTITY';'IC';'Invest Cont';765
'2014-January-13';141904636;'2012-September-01';1200;19;'Mission';1985;810;'SEX, UNLAWFUL';'JO';'Juv Other';567
'2014-April-28';142109197;'2012-September-01';1;21;'Topanga';2148;354;'THEFT OF IDENTITY';'IC';'Invest Cont';552
'2014-April-25';140909541;'2012-August-25';1200;9;'Van Nuys';974;354;'THEFT OF IDENTITY';'IC';'Invest Cont';83
'2014-February-18';141706185;'2012-July-23';800;17;'Devonshire';1793;354;'THEFT OF IDENTITY';'IC';'Invest Cont';226
'2014-August-12';141316351;'2012-July-18';1800;13;'Newton';1331;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';43
'2014-August-08';141515573;'2012-July-01';1200;15;'N Hollywood';1543;812;'CHILD, CRIME AGAINST';'AA';'Adult Arrest';385
'2014-May-22';140410902;'2012-June-17';1;4;'Hollenbeck';497;810;'SEX, UNLAWFUL';'IC';'Invest Cont';0
'2014-April-08';141607514;'2012-June-11';1200;16;'Foothill';1653;812;'CHILD, CRIME AGAINST';'AO';'Adult Other';434
'2014-January-15';140604933;'2012-June-08';1200;6;'Hollywood';666;946;'OTHER MISCELLANEOUS CRIME';'AA';'Adult Arrest';0
'2014-June-10';142111168;'2012-June-04';1600;21;'Topanga';2141;930;'CRIMINAL THREATS - NO WEAPON DISPLAYED';'AO';'Adult Other';298
